TESTPLAN;SettlementEOD - Functioneel Gebruikerstestplan
STUDENT;Aryan Bhaggoe
LEERBEDRIJF;Rosheuvel & Partners Business Group N.V. (RPBG)
VERSIE;2026-06-17
SCOPE;Alle geimplementeerde EOD- en settlement-functionaliteiten conform de MoSCoW-lijst. Dekt Must-haves (M1-M6), Should-haves (S1-S4) en Could-haves (C1-C5). Alleen functies die zichtbaar en actief zijn in de huidige systeemvariant.
VOORWAARDEN;(1) Backend draait op http://localhost:8000. (2) Frontend draait op http://localhost:5173. (3) Testdatabase is beschikbaar met seed-data: admin-gebruiker (gebruikersnaam: admin / wachtwoord: admin123) en minimaal twee testbanken in de banks-tabel. (4) Een OPERATOR-gebruiker en een VIEWER-gebruiker zijn aangemaakt door de ADMIN voor aanvang van het testen. (5) Een geldig test-CSV-bestand is beschikbaar met de kolommen: source_bank_code, destination_bank_code, amount, transaction_type (ATM of POS), reference, transaction_date.
PROCESS;TESTCASE;STAP;BESCHRIJVING;STATUS;VERWACHT RESULTAAT;WERKELIJK RESULTAAT;COMMENTS
Authenticatie;Inloggen als ADMIN;1;Open de browser en navigeer naar http://localhost:5173.;Open;De inlogpagina van SettlementEOD wordt geladen zonder foutmelding.;;
Authenticatie;Inloggen als ADMIN;2;Voer als gebruikersnaam admin in en als wachtwoord admin123.;Open;De invoervelden accepteren de gegevens.;;
Authenticatie;Inloggen als ADMIN;3;Klik op de knop Inloggen.;Open;Het dashboard wordt geladen. De rol ADMIN is zichtbaar in de gebruikersinterface.;;
Authenticatie;Inloggen met foutieve gegevens;1;Navigeer naar de inlogpagina en voer gebruikersnaam admin en wachtwoord fout123 in.;Open;De invoervelden accepteren de gegevens.;;
Authenticatie;Inloggen met foutieve gegevens;2;Klik op de knop Inloggen.;Open;De applicatie toont een foutmelding (Ongeldige gebruikersnaam of wachtwoord of vergelijkbaar). Het dashboard wordt NIET geladen.;;
Authenticatie;Uitloggen;1;Log in als ADMIN en klik op de uitlogknop of het gebruikersmenu in het dashboard.;Open;De gebruiker wordt teruggeleid naar de inlogpagina. De JWT-sessie is beeindigd.;;
Authenticatie;Inloggen als OPERATOR;1;Navigeer naar de inlogpagina en log in met de gegevens van de vooraf aangemaakte OPERATOR-gebruiker.;Open;Het dashboard wordt geladen. De rol OPERATOR is zichtbaar. Beheertabs (zoals Audit Log en Gebruikersbeheer) zijn niet toegankelijk.;;
Authenticatie;Inloggen als VIEWER;1;Log in met de gegevens van de vooraf aangemaakte VIEWER-gebruiker.;Open;Het dashboard wordt geladen. De rol VIEWER is zichtbaar. Knoppen voor EOD starten, CSV uploaden en Cut-off activeren zijn niet beschikbaar of geven geen toegang.;;
Transactiedata inlezen (M2);Geldig CSV-bestand uploaden;1;Log in als OPERATOR en ga naar het tabblad CSV Upload in het dashboard.;Open;Het uploadscherm opent zonder foutmelding.;;
Transactiedata inlezen (M2);Geldig CSV-bestand uploaden;2;Klik op Bestand kiezen of Bladeren en selecteer het voorbereide test-CSV-bestand.;Open;De bestandsnaam verschijnt in het uploadveld.;;
Transactiedata inlezen (M2);Geldig CSV-bestand uploaden;3;Klik op de knop Uploaden.;Open;Het systeem verwerkt het bestand. Het resultaat toont: imported > 0, skipped_duplicates = 0, errors leeg.;;
Transactiedata inlezen (M2);Geldig CSV-bestand uploaden;4;Ga naar het tabblad Transacties en selecteer de datum die overeenkomt met de transactiedatum in het CSV-bestand.;Open;De geuploadde transacties zijn zichtbaar in het overzicht met de juiste banknamen, bedragen en types.;;
Transactiedata inlezen (M2);Duplicaten detecteren bij herUpload;1;Upload hetzelfde CSV-bestand nogmaals via het tabblad CSV Upload.;Open;Het systeem verwerkt het bestand. Het resultaat toont: skipped_duplicates = het aantal rijen in het CSV, imported = 0, errors leeg. Er verschijnt geen foutmelding.;;
Transactiedata inlezen (M2);CSV met ongeldige bankcode;1;Maak een CSV-bestand waarbij een rij een source_bank_code of destination_bank_code bevat die niet bestaat in het systeem. Upload dit bestand.;Open;Het systeem verwerkt de overige rijen wel en slaat de rij met de ongeldige bankcode over. Het resultaat toont een foutmelding per ongeldige rij en het aantal errors > 0.;;
Transactiedata inlezen (M2);Transactieoverzicht filteren;1;Ga naar het tabblad Transacties en selecteer een datum met transacties.;Open;Alle transacties voor die datum worden getoond met bronbank, doelbank, bedrag, type en status.;;
Transactiedata inlezen (M2);Transactieoverzicht filteren;2;Pas de filter aan op status = FAILED (als ondersteund door de UI).;Open;Alleen transacties met status FAILED worden getoond.;;
Simulatie (C5);Testdata genereren als OPERATOR;1;Log in als OPERATOR en ga naar het tabblad Simulatie.;Open;Het simulatiescherm opent zonder foutmelding.;;
Simulatie (C5);Testdata genereren als OPERATOR;2;Voer 50 in als aantal transacties en selecteer de huidige datum als doeldatum.;Open;De invoervelden accepteren de waarden.;;
Simulatie (C5);Testdata genereren als OPERATOR;3;Klik op de knop Genereren.;Open;Het systeem bevestigt dat 50 transacties zijn aangemaakt. inserted = 50, skipped = 0, total_requested = 50.;;
Simulatie (C5);Testdata genereren als OPERATOR;4;Ga naar het tabblad Transacties en selecteer de datum die werd gebruikt bij stap 2.;Open;De 50 gesimuleerde transacties zijn zichtbaar. Alle transactietypes zijn ATM of POS. Alle referenties beginnen met SIM-.;;
Simulatie (C5);Simulatie count limiet controleren;1;Voer in het simulatiescherm 10001 in als aantal transacties.;Open;Het systeem weigert het verzoek met een validatiefout: count moet tussen 1 en 10000 zijn.;;
Simulatie (C5);Simulatie te weinig banken;1;Verwijder alle banken uit de database behalve een (of test in een omgeving met minder dan twee banken) en probeer een simulatie te starten.;Open;Het systeem geeft een foutmelding: minimaal 2 banken zijn vereist voor simulatie.;;
Simulatie (C5);Alles wissen als ADMIN;1;Log in als ADMIN en ga naar het tabblad Simulatie. Klik op de knop Alles wissen.;Open;Het systeem verwijdert alle transacties en alle afgeleide EOD-resultaten. Het bevestigingsbericht toont het aantal verwijderde records.;;
Simulatie (C5);Alles wissen geblokkeerd voor OPERATOR;1;Log in als OPERATOR en ga naar het tabblad Simulatie. Controleer of de knop Alles wissen beschikbaar is.;Open;De knop Alles wissen is niet beschikbaar voor een OPERATOR of het systeem geeft HTTP 403 bij het proberen te klikken.;;
EOD-verwerking (M1 en M3);EOD-run starten;1;Log in als OPERATOR en ga naar het tabblad EOD Run. Zorg dat er transacties aanwezig zijn voor de testdatum (via CSV-upload of simulatie).;Open;Het EOD-scherm opent. Het datumveld en de knop EOD uitvoeren zijn zichtbaar.;;
EOD-verwerking (M1 en M3);EOD-run starten;2;Selecteer de testdatum (de datum waarop transacties beschikbaar zijn) en klik op EOD uitvoeren.;Open;Het systeem start de verwerking. Na voltooiing toont het resultaat: status = SUCCESS, total_transactions > 0, total_debit en total_credit zijn gelijk aan elkaar.;;
EOD-verwerking (M1 en M3);EOD-run starten;3;Controleer dat total_debit en total_credit aan elkaar gelijk zijn.;Open;De twee totalen zijn identiek. Dit bevestigt dat de balanscontrole geslaagd is.;;
EOD-verwerking (M1 en M3);Bankposities controleren;1;Ga na een succesvolle EOD-run naar het tabblad Bankposities (of bekijk de resultaten direct in de EOD-runrespons).;Open;Per deelnemende bank zijn total_incoming, total_outgoing en net_position zichtbaar.;;
EOD-verwerking (M1 en M3);Bankposities controleren;2;Controleer de rekenformule: net_position = total_incoming - total_outgoing voor elke bank.;Open;De getoonde net_position klopt met de handmatig berekende waarde op basis van total_incoming en total_outgoing.;;
EOD-verwerking (M1 en M3);EOD-bestand aangemaakt controleren;1;Controleer in de EOD-runrespons het veld file_info.;Open;file_info toont file_name = EOD_COMPLETE, status = SUCCESS en de bijbehorende total_debit en total_credit.;;
Validatie (M4 en M5);Validatieresultaten bekijken;1;Ga na een EOD-run naar het tabblad Validatie in het dashboard.;Open;Alle zes validatiechecks zijn zichtbaar: TRANSACTION_QUALITY, BALANCE_CHECK, BANK_COMPLETENESS, NULL_CHECK, DECIMAL_PRECISION en DUPLICATE_CHECK.;;
Validatie (M4 en M5);Validatieresultaten bekijken;2;Controleer de status van elke check na een correcte EOD-run op gesimuleerde data.;Open;Alle zes checks tonen de status PASS. De bijbehorende meldingen beschrijven het aantal gecontroleerde items.;;
Validatie (M4 en M5);Balanscheck PASS;1;Voer een EOD-run uit op een set transacties waarbij elke debet-positie een overeenkomende credit-positie heeft (gegarandeerd door de engine).;Open;BALANCE_CHECK toont PASS met de melding dat total_debit gelijk is aan total_credit.;;
Validatie (M4 en M5);Duplicaatdetectie check;1;Upload hetzelfde CSV-bestand twee keer zodat er dubbele references in de database staan. Start daarna een EOD-run voor die datum.;Open;De check DUPLICATE_CHECK toont FAIL met een melding over het aantal gevonden duplicaten en een sample van de referenties.;;
Validatie (M4 en M5);Ontbrekende data detecteren (S4);1;Bekijk de BANK_COMPLETENESS-check in de validatieresultaten na een normale EOD-run.;Open;BANK_COMPLETENESS toont PASS met de melding dat alle betrokken banken een clearing-resultaat hebben.;;
Validatie (M4 en M5);Decimale precisie check;1;Bekijk de DECIMAL_PRECISION-check in de validatieresultaten na een EOD-run.;Open;DECIMAL_PRECISION toont PASS met de melding dat alle bedragen maximaal twee decimalen hebben.;;
Logging (M6);Proceslogboek bekijken;1;Ga na een voltooide EOD-run naar het tabblad Proceslogboek (Process Logs) in het dashboard.;Open;Het proceslogboek toont alle stappen van de EOD-run voor de geselecteerde datum.;;
Logging (M6);Proceslogboek bekijken;2;Controleer dat de volgende processtappen aanwezig zijn: EOD_START, FETCH_TRANSACTIONS, CLEARING, SETTLEMENT, FILE_GENERATION, BILATERAL_SETTLEMENT, VALIDATION en EOD_COMPLETE.;Open;Alle genoemde stappen zijn zichtbaar met een status (SUCCESS of FAILED) en een beschrijvende melding.;;
Logging (M6);Proceslogboek bekijken;3;Controleer de volgorde van de logregels op basis van het tijdstip.;Open;De logregels staan in chronologische volgorde van boven naar beneden.;;
Logging (M6);Proceslogboek na mislukte validatie;1;Zorg dat een validatiecheck mislukt (zie testcase Duplicaatdetectie check) en bekijk daarna het proceslogboek.;Open;Het logboek toont VALIDATION als FAILED en EOD_COMPLETE als FAILED. De foutmelding beschrijft welke check(s) mislukt zijn.;;
Audit trail (S2);Audit log bekijken als ADMIN;1;Log in als ADMIN en ga naar het tabblad Audit Log.;Open;Het auditlogscherm opent. Een overzicht van gebruikersacties is zichtbaar.;;
Audit trail (S2);Audit log bekijken als ADMIN;2;Voer een inlogactie en een EOD-run uit en ververs daarna het auditlog.;Open;Het auditlog bevat minimaal een LOGIN-actie en een EOD_RUN-actie. Per regel zijn gebruikersnaam, actie, resource, tijdstip en IP-adres zichtbaar.;;
Audit trail (S2);Audit log niet toegankelijk voor VIEWER;1;Log in als VIEWER en navigeer naar het tabblad Audit Log.;Open;De toegang wordt geweigerd. De tab is niet zichtbaar of het systeem toont een foutmelding (geen toegang of HTTP 403).;;
Herstartbaarheid (S1);EOD herhalen zonder force_rerun;1;Voer een EOD-run uit voor een datum die al eerder verwerkt is. Laat de optie force_rerun uitgeschakeld (standaard).;Open;Het systeem herkent dat de datum al verwerkt is. Het proceslogboek toont EOD_SKIPPED. De bestaande resultaten (bankposities, bilateral, validation) blijven ongewijzigd.;;
Herstartbaarheid (S1);EOD herhalen met force_rerun;1;Ga naar het tabblad EOD Run en schakel de optie Force Rerun in voor een al verwerkte datum.;Open;De optie is beschikbaar en kan worden ingeschakeld.;;
Herstartbaarheid (S1);EOD herhalen met force_rerun;2;Klik op EOD uitvoeren met force_rerun ingeschakeld.;Open;Het systeem verwijdert de vorige resultaten en berekent alles opnieuw. De nieuwe resultaten vervangen de oude. Status = SUCCESS.;;
Herstartbaarheid (S1);EOD herhalen met force_rerun;3;Controleer dat de vorige clearing_results en bilateral_settlements zijn vervangen door nieuwe records.;Open;In het dashboard zijn de herberekende posities zichtbaar. De timestamps van de records zijn nieuwer dan de vorige run.;;
Rapportage en export (S3 en C4);CSV-rapport exporteren;1;Ga naar het tabblad Rapportage of klik op de exportknop voor een verwerkte datum.;Open;Een CSV-bestand wordt gedownload met de naam eod_report_[datum].csv.;;
Rapportage en export (S3 en C4);CSV-rapport exporteren;2;Open het gedownloade CSV-bestand in een spreadsheetprogramma.;Open;Het bestand bevat de bankposities (total_incoming, total_outgoing, net_position) en de settlement-instructies (bank_code, bedrag, D of C) voor de geselecteerde datum.;;
Rapportage en export (S3 en C4);PDF samenvatting downloaden;1;Klik op de knop PDF Samenvatting downloaden voor een verwerkte datum.;Open;Een PDF-bestand wordt gedownload met de naam clearing_summary_[datum].pdf.;;
Rapportage en export (S3 en C4);PDF samenvatting downloaden;2;Open het PDF-bestand.;Open;Het PDF-bestand bevat de clearingsamenvatting met banknamen, netto-posities, total_debit, total_credit en een overzicht van de bilaterale netting.;;
Rapportage en export (S3 en C4);Per-bank PDF downloaden;1;Selecteer een specifieke bank en klik op PDF downloaden voor die bank voor een verwerkte datum.;Open;Een PDF-bestand wordt gedownload met de naam settlement_statement_[bankcode]_[datum].pdf.;;
Rapportage en export (S3 en C4);Per-bank PDF downloaden;2;Open het PDF-bestand van de geselecteerde bank.;Open;Het bestand toont het afschrift voor die bank: per tegenpartij de bruto-te-betalen, bruto-te-ontvangen, het nettobedrag en de richting (PAY of RECEIVE).;;
Rapportage en export (S3 en C4);ZIP met alle PDFs downloaden;1;Klik op de knop ZIP alle PDFs downloaden voor een verwerkte datum.;Open;Een ZIP-bestand wordt gedownload met de naam clearing_pdfs_[datum].zip.;;
Rapportage en export (S3 en C4);ZIP met alle PDFs downloaden;2;Pak het ZIP-bestand uit.;Open;Het ZIP-bestand bevat de samenvatting-PDF (clearing_summary_[datum].pdf) en een aparte PDF per deelnemende bank (settlement_statement_[bankcode]_[datum].pdf).;;
Rapportage en export (S3 en C4);Rapport ophalen zonder EOD-data;1;Probeer het CSV-rapport te downloaden voor een datum waarop geen EOD-verwerking is uitgevoerd.;Open;Het systeem geeft een foutmelding: geen EOD-data gevonden voor de geselecteerde datum (HTTP 404).;;
Bilaterale settlement (C1);Bilaterale netting bekijken;1;Ga na een succesvolle EOD-run naar het tabblad Bilaterale Settlements.;Open;Een overzicht van bankparen wordt getoond met bank_a_code, bank_b_code, bank_a_owes_b, bank_b_owes_a, net_amount en net_direction.;;
Bilaterale settlement (C1);Bilaterale netting bekijken;2;Controleer de canonieke volgorde van bankparen: het ID van bank_a is altijd lager dan het ID van bank_b.;Open;Voor elk paar geldt bank_a_id < bank_b_id. Er zijn geen dubbele paren (A-B en B-A tegelijk) in het overzicht.;;
Bilaterale settlement (C1);Bilaterale netting bekijken;3;Controleer de net_direction voor een paar: als bank_a_owes_b > bank_b_owes_a moet net_direction = A_TO_B zijn.;Open;De getoonde net_direction klopt met het verschil tussen de twee kolommen.;;
Bilaterale settlement (C1);Per-bank afschrift bekijken;1;Ga naar het tabblad Bankafschriften en selecteer een specifieke bank voor een verwerkte datum.;Open;Het afschrift toont per tegenpartij: gross_payable, gross_receivable, net_amount en net_direction (PAY, RECEIVE of ZERO).;;
Bilaterale settlement (C1);Per-bank afschrift bekijken;2;Controleer de totalen van het afschrift: total_debit = som van nettobedragen waarbij de bank betaalt; total_credit = som waarbij de bank ontvangt.;Open;De totalen kloppen met de optelsom van de afzonderlijke tegenpartijregels.;;
